Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month,Month Name,Quarter,Days to Ship,Profit Margin %,Revenue per Unit,Discount %,Profit Flag,Margin Band
11,CA-2023-1010,12/23/2023,12/30/2023,Standard Class,CG-00003,Customer 003,Consumer,Newark,New Jersey,East,OFF-PAP-41571,Office Supplies,Paper,Hammermill Copy Paper,299.9,10,0,65.33,2023,12,December,Q4,7,21.78,29.99,0,Profit,Medium Margin
12,CA-2023-1011,9/23/2023,9/30/2023,Standard Class,CG-00085,Customer 085,Corporate,Birmingham,Alabama,South,FUR-BOO-37760,Furniture,Bookcases,Sauder Bookcase,2024.92,9,0.1,226.67,2023,9,September,Q3,7,11.19,224.99,10,Profit,Medium Margin
13,CA-2023-1012,3/29/2023,3/31/2023,First Class,CG-00032,Customer 032,Home Office,Los Angeles,California,West,OFF-BIN-82603,Office Supplies,Binders,Wilson Jones Binder,53.96,4,0.1,11.12,2023,3,March,Q1,2,20.61,13.49,10,Profit,Medium Margin
14,CA-2024-1013,12/20/2024,12/25/2024,Standard Class,CG-00111,Customer 111,Consumer,Houston,Texas,Central,TEC-ACC-97684,Technology,Accessories,Logitech Keyboard,359.93,8,0.1,81.3,2024,12,December,Q4,5,22.59,44.99,10,Profit,Medium Margin
15,CA-2024-1014,3/15/2024,3/15/2024,Same Day,CG-00025,Customer 025,Corporate,New York City,New York,East,TEC-COP-65519,Technology,Copiers,HP Copier,4549.97,7,0.5,566.81,2024,3,March,Q1,0,12.46,650,50,Profit,Medium Margin
16,CA-2021-1015,4/21/2021,4/26/2021,Standard Class,CG-00103,Customer 103,Corporate,Philadelphia,Pennsylvania,East,FUR-TAB-28373,Furniture,Tables,Bretford Table,8399.93,7,0,392.96,2021,4,April,Q2,5,4.68,1199.99,0,Profit,Low Margin
17,CA-2022-1016,5/27/2022,6/2/2022,Standard Class,CG-00084,Customer 084,Consumer,New York City,New York,East,FUR-TAB-73653,Furniture,Tables,Bretford Table,8639.93,8,0.1,1163.78,2022,5,May,Q2,6,13.47,1079.99,10,Profit,Medium Margin
18,CA-2021-1017,5/1/2021,5/4/2021,Second Class,CG-00034,Customer 034,Corporate,Charlotte,North Carolina,South,OFF-ENV-30289,Office Supplies,Envelopes,Kraft Envelopes,15.97,4,0.2,3.8,2021,5,May,Q2,3,23.79,3.99,20,Profit,Medium Margin
19,CA-2021-1018,4/30/2021,5/7/2021,Standard Class,CG-00007,Customer 007,Corporate,Birmingham,Alabama,South,TEC-ACC-76562,Technology,Accessories,Plantronics Headset,179.98,2,0,27.95,2021,4,April,Q2,7,15.53,89.99,0,Profit,Medium Margin
20,CA-2021-1019,5/20/2021,5/23/2021,Second Class,CG-00075,Customer 075,Consumer,Richmond,Virginia,East,FUR-FUR-44179,Furniture,Furnishings,Fiskars Scissors,27.97,4,0.3,1.14,2021,5,May,Q2,3,4.08,6.99,30,Profit,Low Margin
21,CA-2023-1020,3/22/2023,3/26/2023,Second Class,CG-00041,Customer 041,Home Office,New York City,New York,East,OFF-STO-19602,Office Supplies,Storage,Sterilite Storage Box,121.42,9,0.1,34.1,2023,3,March,Q1,4,28.08,13.49,10,Profit,High Margin
22,CA-2021-1021,9/29/2021,10/2/2021,First Class,CG-00037,Customer 037,Corporate,Las Vegas,Nevada,West,TEC-MAC-97538,Technology,Machines,HP Printer,6719.89,14,0.2,1913.58,2021,9,September,Q3,3,28.48,479.99,20,Profit,High Margin
23,CA-2021-1022,8/1/2021,8/4/2021,Second Class,CG-00096,Customer 096,Consumer,Portland,Oregon,West,OFF-STO-54942,Office Supplies,Storage,Sterilite Storage Box,47.97,4,0.2,13.47,2021,8,August,Q3,3,28.08,11.99,20,Profit,High Margin
24,CA-2022-1023,5/30/2022,6/4/2022,Standard Class,CG-00006,Customer 006,Consumer,Newark,New Jersey,East,FUR-BOO-67912,Furniture,Bookcases,Bush Classic Bookcase,1079.95,9,0.4,-65.73,2022,5,May,Q2,5,-6.09,119.99,40,Loss,Loss
25,CA-2021-1024,8/18/2021,8/25/2021,Standard Class,CG-00107,Customer 107,Home Office,Minneapolis,Minnesota,Central,TEC-ACC-26704,Technology,Accessories,Logitech Keyboard,39.99,1,0.2,7.99,2021,8,August,Q3,7,19.98,39.99,20,Profit,Medium Margin
26,CA-2021-1025,3/23/2021,3/25/2021,First Class,CG-00046,Customer 046,Corporate,Birmingham,Alabama,South,TEC-ACC-31299,Technology,Accessories,Plantronics Headset,1169.87,13,0,324.3,2021,3,March,Q1,2,27.72,89.99,0,Profit,High Margin
27,CA-2021-1026,2/20/2021,2/24/2021,Second Class,CG-00103,Customer 103,Corporate,Portland,Oregon,West,FUR-CHA-15075,Furniture,Chairs,Hon Deluxe Chair,3499.93,14,0.5,-390.71,2021,2,February,Q1,4,-11.16,249.99,50,Loss,Loss
28,CA-2023-1027,8/1/2023,8/3/2023,First Class,CG-00004,Customer 004,Corporate,Las Vegas,Nevada,West,OFF-PEN-46585,Office Supplies,Pens & Art Supplies,BIC Ballpoint Pens,21.56,6,0.4,3.38,2023,8,August,Q3,2,15.68,3.59,40,Profit,Medium Margin
29,CA-2024-1028,1/4/2024,1/7/2024,First Class,CG-00023,Customer 023,Home Office,Houston,Texas,Central,FUR-FUR-51114,Furniture,Furnishings,Fiskars Scissors,69.93,7,0,4.39,2024,1,January,Q1,3,6.28,9.99,0,Profit,Low Margin
30,CA-2024-1029,3/26/2024,3/29/2024,Second Class,CG-00001,Customer 001,Corporate,Portland,Oregon,West,OFF-BIN-53279,Office Supplies,Binders,Wilson Jones Binder,104.93,10,0.3,31.95,2024,3,March,Q1,3,30.45,10.49,30,Profit,High Margin
31,CA-2021-1030,9/13/2021,9/16/2021,First Class,CG-00042,Customer 042,Consumer,Charlotte,North Carolina,South,TEC-ACC-65108,Technology,Accessories,Plantronics Headset,593.93,11,0.4,57.37,2021,9,September,Q3,3,9.66,53.99,40,Profit,Low Margin
32,CA-2021-1031,12/23/2021,12/26/2021,First Class,CG-00037,Customer 037,Corporate,Las Vegas,Nevada,West,TEC-MAC-67905,Technology,Machines,Brother Fax Machine,2879.93,8,0.1,638.41,2021,12,December,Q4,3,22.17,359.99,10,Profit,Medium Margin
33,CA-2021-1032,12/14/2021,12/20/2021,Standard Class,CG-00105,Customer 105,Consumer,Portland,Oregon,West,FUR-TAB-13201,Furniture,Tables,Riverside Meeting Table,809.99,1,0.1,123.6,2021,12,December,Q4,6,15.26,809.99,10,Profit,Medium Margin
34,CA-2024-1033,6/5/2024,6/11/2024,Standard Class,CG-00092,Customer 092,Home Office,Nashville,Tennessee,South,OFF-PAP-95990,Office Supplies,Paper,Hammermill Copy Paper,359.88,12,0,121.96,2024,6,June,Q2,6,33.89,29.99,0,Profit,High Margin
35,CA-2021-1034,8/7/2021,8/7/2021,Same Day,CG-00007,Customer 007,Corporate,Los Angeles,California,West,OFF-PAP-97500,Office Supplies,Paper,Xerox Paper,157.44,9,0.3,54.71,2021,8,August,Q3,0,34.75,17.49,30,Profit,High Margin
36,CA-2023-1035,6/26/2023,6/26/2023,Same Day,CG-00096,Customer 096,Consumer,Nashville,Tennessee,South,OFF-PAP-78327,Office Supplies,Paper,Xerox Paper,179.93,8,0.1,44.3,2023,6,June,Q2,0,24.62,22.49,10,Profit,Medium Margin
37,CA-2021-1036,6/8/2021,6/11/2021,First Class,CG-00041,Customer 041,Home Office,Philadelphia,Pennsylvania,East,FUR-TAB-30028,Furniture,Tables,Bretford Table,12959.89,12,0.1,189.66,2021,6,June,Q2,3,1.46,1079.99,10,Profit,Low Margin
38,CA-2023-1037,4/15/2023,4/18/2023,First Class,CG-00008,Customer 008,Home Office,Las Vegas,Nevada,West,OFF-STO-85456,Office Supplies,Storage,Sterilite Storage Box,52.47,7,0.5,2.93,2023,4,April,Q2,3,5.58,7.5,50,Profit,Low Margin
39,CA-2022-1038,12/22/2022,12/24/2022,First Class,CG-00063,Customer 063,Consumer,Portland,Oregon,West,OFF-LAB-60968,Office Supplies,Labels,Avery Labels,28.76,6,0.4,4.71,2022,12,December,Q4,2,16.38,4.79,40,Profit,Medium Margin
40,CA-2023-1039,8/16/2023,8/19/2023,Second Class,CG-00076,Customer 076,Corporate,New York City,New York,East,TEC-COP-70515,Technology,Copiers,Canon Copier,4499.97,3,0,828.1,2023,8,August,Q3,3,18.4,1499.99,0,Profit,Medium Margin
41,CA-2022-1040,11/2/2022,11/6/2022,Second Class,CG-00098,Customer 098,Home Office,Charlotte,North Carolina,South,OFF-PEN-71644,Office Supplies,Pens & Art Supplies,BIC Ballpoint Pens,5.99,1,0,2.13,2022,11,November,Q4,4,35.56,5.99,0,Profit,High Margin
42,CA-2022-1041,12/18/2022,12/21/2022,Second Class,CG-00097,Customer 097,Corporate,Philadelphia,Pennsylvania,East,FUR-CHA-29973,Furniture,Chairs,Global Chair,1559.96,4,0,118.61,2022,12,December,Q4,3,7.6,389.99,0,Profit,Low Margin
43,CA-2021-1042,8/23/2021,8/27/2021,Second Class,CG-00022,Customer 022,Corporate,Philadelphia,Pennsylvania,East,OFF-BIN-13365,Office Supplies,Binders,Wilson Jones Binder,44.97,5,0.4,5.15,2021,8,August,Q3,4,11.45,8.99,40,Profit,Medium Margin
44,CA-2022-1043,2/11/2022,2/18/2022,Standard Class,CG-00090,Customer 090,Consumer,Minneapolis,Minnesota,Central,FUR-CHA-79827,Furniture,Chairs,Hon Deluxe Chair,2449.95,7,0.3,37.59,2022,2,February,Q1,7,1.53,349.99,30,Profit,Low Margin
45,CA-2024-1044,8/19/2024,8/22/2024,First Class,CG-00014,Customer 014,Home Office,Charlotte,North Carolina,South,TEC-COP-67080,Technology,Copiers,Canon Copier,3599.98,3,0.2,854.59,2024,8,August,Q3,3,23.74,1199.99,20,Profit,Medium Margin
46,CA-2024-1045,1/8/2024,1/8/2024,Same Day,CG-00042,Customer 042,Consumer,Los Angeles,California,West,OFF-LAB-70910,Office Supplies,Labels,Avery Labels,47.94,10,0.4,5.06,2024,1,January,Q1,0,10.55,4.79,40,Profit,Medium Margin
47,CA-2023-1046,10/10/2023,10/12/2023,First Class,CG-00046,Customer 046,Corporate,Columbus,Ohio,Central,OFF-STO-82848,Office Supplies,Storage,Iris Storage Case,22.49,1,0.1,4.9,2023,10,October,Q4,2,21.79,22.49,10,Profit,Medium Margin
48,CA-2023-1047,4/13/2023,4/13/2023,Same Day,CG-00083,Customer 083,Home Office,Nashville,Tennessee,South,FUR-CHA-39045,Furniture,Chairs,Hon Deluxe Chair,3149.94,7,0.1,160.43,2023,4,April,Q2,0,5.09,449.99,10,Profit,Low Margin
49,CA-2024-1048,4/6/2024,4/9/2024,First Class,CG-00096,Customer 096,Consumer,Columbus,Ohio,Central,TEC-COP-50189,Technology,Copiers,HP Copier,5849.95,5,0.1,954.12,2024,4,April,Q2,3,16.31,1169.99,10,Profit,Medium Margin
50,CA-2022-1049,1/30/2022,2/1/2022,First Class,CG-00028,Customer 028,Corporate,Charlotte,North Carolina,South,TEC-MAC-35443,Technology,Machines,HP Printer,2699.95,5,0.1,537.65,2022,1,January,Q1,2,19.91,539.99,10,Profit,Medium Margin
51,CA-2022-1050,9/12/2022,9/19/2022,Standard Class,CG-00006,Customer 006,Consumer,Richmond,Virginia,East,OFF-ENV-93606,Office Supplies,Envelopes,Poly Envelopes,48.93,14,0.5,3.44,2022,9,September,Q3,7,7.03,3.5,50,Profit,Low Margin
52,CA-2021-1051,1/26/2021,1/29/2021,First Class,CG-00044,Customer 044,Home Office,Los Angeles,California,West,OFF-LAB-18564,Office Supplies,Labels,Avery Labels,27.96,7,0.5,1.85,2021,1,January,Q1,3,6.62,3.99,50,Profit,Low Margin
53,CA-2024-1052,7/13/2024,7/18/2024,Standard Class,CG-00011,Customer 011,Home Office,Los Angeles,California,West,TEC-COP-78494,Technology,Copiers,Canon Copier,5249.97,7,0.5,689.19,2024,7,July,Q3,5,13.13,750,50,Profit,Medium Margin
54,CA-2022-1053,9/1/2022,9/1/2022,Same Day,CG-00098,Customer 098,Home Office,Seattle,Washington,West,OFF-ENV-30585,Office Supplies,Envelopes,Poly Envelopes,27.96,4,0,8.05,2022,9,September,Q3,0,28.79,6.99,0,Profit,High Margin
55,CA-2021-1054,11/17/2021,11/23/2021,Standard Class,CG-00038,Customer 038,Home Office,Philadelphia,Pennsylvania,East,OFF-ENV-69510,Office Supplies,Envelopes,Kraft Envelopes,8.98,2,0.1,3.09,2021,11,November,Q4,6,34.41,4.49,10,Profit,High Margin
56,CA-2024-1055,7/4/2024,7/7/2024,Second Class,CG-00083,Customer 083,Home Office,Portland,Oregon,West,FUR-CHA-31747,Furniture,Chairs,Staples Chair,3119.9,13,0.2,294.07,2024,7,July,Q3,3,9.43,239.99,20,Profit,Low Margin
57,CA-2024-1056,3/11/2024,3/14/2024,First Class,CG-00089,Customer 089,Home Office,Detroit,Michigan,Central,OFF-STO-67377,Office Supplies,Storage,Iris Storage Case,49.98,2,0,16.91,2024,3,March,Q1,3,33.83,24.99,0,Profit,High Margin
58,CA-2022-1057,10/23/2022,10/25/2022,First Class,CG-00087,Customer 087,Consumer,Newark,New Jersey,East,TEC-PHO-71669,Technology,Phones,Apple iPhone,3374.95,9,0.5,446.88,2022,10,October,Q4,2,13.24,374.99,50,Profit,Medium Margin
59,CA-2022-1058,1/7/2022,1/7/2022,Same Day,CG-00061,Customer 061,Corporate,Detroit,Michigan,Central,OFF-PEN-31079,Office Supplies,Pens & Art Supplies,BIC Ballpoint Pens,21.56,6,0.4,3.43,2022,1,January,Q1,0,15.91,3.59,40,Profit,Medium Margin
60,CA-2022-1059,8/14/2022,8/14/2022,Same Day,CG-00012,Customer 012,Consumer,Columbus,Ohio,Central,OFF-BIN-77449,Office Supplies,Binders,Cardinal Binder,125.86,14,0,38.22,2022,8,August,Q3,0,30.37,8.99,0,Profit,High Margin
61,CA-2024-1060,1/17/2024,1/17/2024,Same Day,CG-00067,Customer 067,Corporate,Minneapolis,Minnesota,Central,OFF-ENV-16764,Office Supplies,Envelopes,Kraft Envelopes,15.97,4,0.2,4.59,2024,1,January,Q1,0,28.74,3.99,20,Profit,High Margin
62,CA-2022-1061,8/13/2022,8/13/2022,Same Day,CG-00004,Customer 004,Corporate,Seattle,Washington,West,OFF-STO-82384,Office Supplies,Storage,Sterilite Storage Box,104.93,7,0,25.05,2022,8,August,Q3,0,23.87,14.99,0,Profit,Medium Margin
63,CA-2021-1062,8/21/2021,8/21/2021,Same Day,CG-00120,Customer 120,Consumer,Minneapolis,Minnesota,Central,TEC-MAC-73242,Technology,Machines,Brother Fax Machine,2879.93,8,0.1,614.92,2021,8,August,Q3,0,21.35,359.99,10,Profit,Medium Margin
64,CA-2021-1063,10/24/2021,10/24/2021,Same Day,CG-00036,Customer 036,Consumer,Charlotte,North Carolina,South,TEC-MAC-47072,Technology,Machines,HP Printer,5759.9,12,0.2,1558.75,2021,10,October,Q4,0,27.06,479.99,20,Profit,High Margin
65,CA-2024-1064,4/2/2024,4/2/2024,Same Day,CG-00045,Customer 045,Consumer,Minneapolis,Minnesota,Central,TEC-COP-52176,Technology,Copiers,HP Copier,16379.87,14,0.1,4784.83,2024,4,April,Q2,0,29.21,1169.99,10,Profit,High Margin
66,CA-2022-1065,5/5/2022,5/5/2022,Same Day,CG-00041,Customer 041,Home Office,Nashville,Tennessee,South,OFF-ENV-74923,Office Supplies,Envelopes,Poly Envelopes,6.99,1,0,1.96,2022,5,May,Q2,0,28.04,6.99,0,Profit,High Margin
67,CA-2024-1066,4/23/2024,4/25/2024,First Class,CG-00068,Customer 068,Home Office,Miami,Florida,South,TEC-ACC-95823,Technology,Accessories,Logitech Keyboard,149.97,3,0,32.31,2024,4,April,Q2,2,21.54,49.99,0,Profit,Medium Margin
68,CA-2022-1067,6/27/2022,6/29/2022,First Class,CG-00110,Customer 110,Home Office,Minneapolis,Minnesota,Central,OFF-PEN-80912,Office Supplies,Pens & Art Supplies,Staedtler Markers,12.99,1,0,3.12,2022,6,June,Q2,2,24.02,12.99,0,Profit,Medium Margin
69,CA-2024-1068,11/2/2024,11/5/2024,First Class,CG-00013,Customer 013,Corporate,Boston,Massachusetts,East,FUR-BOO-16028,Furniture,Bookcases,Bush Classic Bookcase,1199.94,6,0,58.8,2024,11,November,Q4,3,4.9,199.99,0,Profit,Low Margin
70,CA-2023-1069,2/7/2023,2/7/2023,Same Day,CG-00073,Customer 073,Corporate,Seattle,Washington,West,FUR-CHA-60140,Furniture,Chairs,Global Chair,3509.91,10,0.1,279.56,2023,2,February,Q1,0,7.96,350.99,10,Profit,Low Margin
71,CA-2024-1070,4/9/2024,4/13/2024,Second Class,CG-00059,Customer 059,Home Office,Houston,Texas,Central,OFF-PEN-19681,Office Supplies,Pens & Art Supplies,BIC Ballpoint Pens,33.54,8,0.3,11.84,2024,4,April,Q2,4,35.3,4.19,30,Profit,High Margin
72,CA-2022-1071,9/5/2022,9/5/2022,Same Day,CG-00109,Customer 109,Corporate,Chicago,Illinois,Central,OFF-LAB-41091,Office Supplies,Labels,Avery Labels,39.15,7,0.3,11.4,2022,9,September,Q3,0,29.12,5.59,30,Profit,High Margin
73,CA-2024-1072,12/3/2024,12/6/2024,First Class,CG-00002,Customer 002,Home Office,Richmond,Virginia,East,TEC-COP-40162,Technology,Copiers,HP Copier,9099.93,10,0.3,1618.43,2024,12,December,Q4,3,17.79,909.99,30,Profit,Medium Margin
74,CA-2022-1073,1/25/2022,1/27/2022,First Class,CG-00116,Customer 116,Home Office,Newark,New Jersey,East,OFF-BIN-57823,Office Supplies,Binders,Wilson Jones Binder,179.88,12,0,39.31,2022,1,January,Q1,2,21.85,14.99,0,Profit,Medium Margin
75,CA-2022-1074,8/28/2022,8/30/2022,First Class,CG-00026,Customer 026,Home Office,Phoenix,Arizona,West,OFF-STO-31567,Office Supplies,Storage,Iris Storage Case,62.47,5,0.5,12.5,2022,8,August,Q3,2,20.01,12.49,50,Profit,Medium Margin
76,CA-2022-1075,8/28/2022,8/30/2022,First Class,CG-00019,Customer 019,Corporate,Las Vegas,Nevada,West,TEC-MAC-61717,Technology,Machines,HP Printer,479.99,1,0.2,108.23,2022,8,August,Q3,2,22.55,479.99,20,Profit,Medium Margin
77,CA-2023-1076,7/21/2023,7/24/2023,First Class,CG-00106,Customer 106,Corporate,Houston,Texas,Central,TEC-ACC-13280,Technology,Accessories,Logitech Keyboard,349.93,10,0.3,98.78,2023,7,July,Q3,3,28.23,34.99,30,Profit,High Margin
78,CA-2022-1077,3/30/2022,4/6/2022,Standard Class,CG-00084,Customer 084,Consumer,Miami,Florida,South,FUR-CHA-49893,Furniture,Chairs,Staples Chair,2399.92,8,0,46.99,2022,3,March,Q1,7,1.96,299.99,0,Profit,Low Margin
79,CA-2024-1078,1/6/2024,1/10/2024,Second Class,CG-00086,Customer 086,Home Office,Birmingham,Alabama,South,TEC-ACC-95841,Technology,Accessories,Logitech Keyboard,49.99,2,0.5,4.37,2024,1,January,Q1,4,8.74,25,50,Profit,Low Margin
80,CA-2022-1079,7/27/2022,8/3/2022,Standard Class,CG-00057,Customer 057,Consumer,Atlanta,Georgia,South,OFF-BIN-58147,Office Supplies,Binders,Wilson Jones Binder,94.44,9,0.3,20.22,2022,7,July,Q3,7,21.41,10.49,30,Profit,Medium Margin
81,CA-2022-1080,7/20/2022,7/24/2022,Second Class,CG-00085,Customer 085,Corporate,Phoenix,Arizona,West,FUR-CHA-41925,Furniture,Chairs,Hon Deluxe Chair,1349.97,3,0.1,20.64,2022,7,July,Q3,4,1.53,449.99,10,Profit,Low Margin
82,CA-2024-1081,2/10/2024,2/13/2024,Second Class,CG-00043,Customer 043,Corporate,Phoenix,Arizona,West,FUR-BOO-27038,Furniture,Bookcases,Bush Classic Bookcase,1439.93,9,0.2,179.67,2024,2,February,Q1,3,12.48,159.99,20,Profit,Medium Margin
83,CA-2021-1082,8/14/2021,8/19/2021,Standard Class,CG-00102,Customer 102,Consumer,Phoenix,Arizona,West,OFF-BIN-44782,Office Supplies,Binders,Avery Binder,12.99,1,0,4.11,2021,8,August,Q3,5,31.64,12.99,0,Profit,High Margin
84,CA-2023-1083,12/14/2023,12/21/2023,Standard Class,CG-00058,Customer 058,Corporate,Minneapolis,Minnesota,Central,TEC-PHO-76039,Technology,Phones,Samsung Galaxy,2799.96,4,0,711.43,2023,12,December,Q4,7,25.41,699.99,0,Profit,High Margin
85,CA-2024-1084,9/11/2024,9/13/2024,First Class,CG-00062,Customer 062,Home Office,Nashville,Tennessee,South,TEC-PHO-68138,Technology,Phones,Samsung Galaxy,1399.98,2,0,270.64,2024,9,September,Q3,2,19.33,699.99,0,Profit,Medium Margin
86,CA-2021-1085,10/31/2021,11/5/2021,Standard Class,CG-00049,Customer 049,Corporate,Detroit,Michigan,Central,TEC-COP-24996,Technology,Copiers,Canon Copier,18899.87,14,0.1,3959.72,2021,10,October,Q4,5,20.95,1349.99,10,Profit,Medium Margin
87,CA-2022-1086,4/13/2022,4/13/2022,Same Day,CG-00054,Customer 054,Consumer,Newark,New Jersey,East,OFF-PEN-59060,Office Supplies,Pens & Art Supplies,Staedtler Markers,19.48,3,0.5,1.27,2022,4,April,Q2,0,6.52,6.49,50,Profit,Low Margin
88,CA-2021-1087,6/24/2021,6/30/2021,Standard Class,CG-00104,Customer 104,Home Office,Phoenix,Arizona,West,FUR-BOO-63845,Furniture,Bookcases,Bush Classic Bookcase,719.96,6,0.4,-10.65,2021,6,June,Q2,6,-1.48,119.99,40,Loss,Loss
89,CA-2021-1088,4/16/2021,4/19/2021,First Class,CG-00014,Customer 014,Home Office,Seattle,Washington,West,TEC-COP-24184,Technology,Copiers,Canon Copier,6299.96,6,0.3,1022.06,2021,4,April,Q2,3,16.22,1049.99,30,Profit,Medium Margin
90,CA-2022-1089,7/25/2022,7/28/2022,Second Class,CG-00004,Customer 004,Corporate,Portland,Oregon,West,TEC-MAC-56009,Technology,Machines,Brother Fax Machine,399.99,1,0,110.19,2022,7,July,Q3,3,27.55,399.99,0,Profit,High Margin
91,CA-2024-1090,3/5/2024,3/5/2024,Same Day,CG-00012,Customer 012,Consumer,Las Vegas,Nevada,West,OFF-LAB-30631,Office Supplies,Labels,Avery Address Labels,47.95,6,0.2,15.02,2024,3,March,Q1,0,31.32,7.99,20,Profit,High Margin
92,CA-2024-1091,3/8/2024,3/13/2024,Standard Class,CG-00097,Customer 097,Corporate,New York City,New York,East,OFF-LAB-73656,Office Supplies,Labels,Avery Address Labels,49.95,10,0.5,5.85,2024,3,March,Q1,5,11.71,5,50,Profit,Medium Margin
93,CA-2022-1092,3/18/2022,3/24/2022,Standard Class,CG-00037,Customer 037,Corporate,Birmingham,Alabama,South,TEC-MAC-38903,Technology,Machines,HP Printer,4199.93,7,0,613.83,2022,3,March,Q1,6,14.62,599.99,0,Profit,Medium Margin
94,CA-2022-1093,9/10/2022,9/14/2022,Second Class,CG-00042,Customer 042,Consumer,New York City,New York,East,OFF-ENV-33028,Office Supplies,Envelopes,Kraft Envelopes,8.98,3,0.4,1.21,2022,9,September,Q3,4,13.47,2.99,40,Profit,Medium Margin
95,CA-2022-1094,4/17/2022,4/19/2022,First Class,CG-00056,Customer 056,Home Office,Boston,Massachusetts,East,FUR-BOO-85156,Furniture,Bookcases,Sauder Bookcase,1049.96,7,0.4,-106.65,2022,4,April,Q2,2,-10.16,149.99,40,Loss,Loss
96,CA-2023-1095,4/10/2023,4/16/2023,Standard Class,CG-00107,Customer 107,Home Office,Houston,Texas,Central,OFF-BIN-67104,Office Supplies,Binders,Avery Binder,77.94,10,0.4,10.41,2023,4,April,Q2,6,13.36,7.79,40,Profit,Medium Margin
97,CA-2023-1096,3/22/2023,3/24/2023,First Class,CG-00043,Customer 043,Corporate,Los Angeles,California,West,TEC-PHO-76840,Technology,Phones,Cisco Phone,839.97,4,0.3,166.03,2023,3,March,Q1,2,19.77,209.99,30,Profit,Medium Margin
98,CA-2024-1097,8/14/2024,8/17/2024,Second Class,CG-00033,Customer 033,Consumer,Seattle,Washington,West,TEC-ACC-19876,Technology,Accessories,Belkin Cable,22.48,3,0.5,1.45,2024,8,August,Q3,3,6.45,7.49,50,Profit,Low Margin
99,CA-2024-1098,2/29/2024,2/29/2024,Same Day,CG-00020,Customer 020,Home Office,Miami,Florida,South,OFF-LAB-46002,Office Supplies,Labels,Avery Address Labels,99.9,10,0,25.75,2024,2,February,Q1,0,25.78,9.99,0,Profit,High Margin
