Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
76,CA-2022-1075,2022-08-28,2022-08-30,First Class,CG-00019,Customer 019,Corporate,Las Vegas,Nevada,West,TEC-MAC-61717,Technology,Machines,HP Printer,479.99,1,0.2,108.23
77,CA-2023-1076,2023-07-21,2023-07-24,First Class,CG-00106,Customer 106,Corporate,Houston,Texas,Central,TEC-ACC-13280,Technology,Accessories,Logitech Keyboard,349.93,10,0.3,98.78
78,CA-2022-1077,2022-03-30,2022-04-06,Standard Class,CG-00084,Customer 084,Consumer,Miami,Florida,South,FUR-CHA-49893,Furniture,Chairs,Staples Chair,2399.92,8,0.0,46.99
79,CA-2024-1078,2024-01-06,2024-01-10,Second Class,CG-00086,Customer 086,Home Office,Birmingham,Alabama,South,TEC-ACC-95841,Technology,Accessories,Logitech Keyboard,49.99,2,0.5,4.37
80,CA-2022-1079,2022-07-27,2022-08-03,Standard Class,CG-00057,Customer 057,Consumer,Atlanta,Georgia,South,OFF-BIN-58147,Office Supplies,Binders,Wilson Jones Binder,94.44,9,0.3,20.22
81,CA-2022-1080,2022-07-20,2022-07-24,Second Class,CG-00085,Customer 085,Corporate,Phoenix,Arizona,West,FUR-CHA-41925,Furniture,Chairs,Hon Deluxe Chair,1349.97,3,0.1,20.64
82,CA-2024-1081,2024-02-10,2024-02-13,Second Class,CG-00043,Customer 043,Corporate,Phoenix,Arizona,West,FUR-BOO-27038,Furniture,Bookcases,Bush Classic Bookcase,1439.93,9,0.2,179.67
83,CA-2021-1082,2021-08-14,2021-08-19,Standard Class,CG-00102,Customer 102,Consumer,Phoenix,Arizona,West,OFF-BIN-44782,Office Supplies,Binders,Avery Binder,12.99,1,0.0,4.11
84,CA-2023-1083,2023-12-14,2023-12-21,Standard Class,CG-00058,Customer 058,Corporate,Minneapolis,Minnesota,Central,TEC-PHO-76039,Technology,Phones,Samsung Galaxy,2799.96,4,0.0,711.43
85,CA-2024-1084,2024-09-11,2024-09-13,First Class,CG-00062,Customer 062,Home Office,Nashville,Tennessee,South,TEC-PHO-68138,Technology,Phones,Samsung Galaxy,1399.98,2,0.0,270.64
86,CA-2021-1085,2021-10-31,2021-11-05,Standard Class,CG-00049,Customer 049,Corporate,Detroit,Michigan,Central,TEC-COP-24996,Technology,Copiers,Canon Copier,18899.87,14,0.1,3959.72
87,CA-2022-1086,2022-04-13,2022-04-13,Same Day,CG-00054,Customer 054,Consumer,Newark,New Jersey,East,OFF-PEN-59060,Office Supplies,Pens & Art Supplies,Staedtler Markers,19.48,3,0.5,1.27
88,CA-2021-1087,2021-06-24,2021-06-30,Standard Class,CG-00104,Customer 104,Home Office,Phoenix,Arizona,West,FUR-BOO-63845,Furniture,Bookcases,Bush Classic Bookcase,719.96,6,0.4,-10.65
89,CA-2021-1088,2021-04-16,2021-04-19,First Class,CG-00014,Customer 014,Home Office,Seattle,Washington,West,TEC-COP-24184,Technology,Copiers,Canon Copier,6299.96,6,0.3,1022.06
90,CA-2022-1089,2022-07-25,2022-07-28,Second Class,CG-00004,Customer 004,Corporate,Portland,Oregon,West,TEC-MAC-56009,Technology,Machines,Brother Fax Machine,399.99,1,0.0,110.19
91,CA-2024-1090,2024-03-05,2024-03-05,Same Day,CG-00012,Customer 012,Consumer,Las Vegas,Nevada,West,OFF-LAB-30631,Office Supplies,Labels,Avery Address Labels,47.95,6,0.2,15.02
92,CA-2024-1091,2024-03-08,2024-03-13,Standard Class,CG-00097,Customer 097,Corporate,New York City,New York,East,OFF-LAB-73656,Office Supplies,Labels,Avery Address Labels,49.95,10,0.5,5.85
93,CA-2022-1092,2022-03-18,2022-03-24,Standard Class,CG-00037,Customer 037,Corporate,Birmingham,Alabama,South,TEC-MAC-38903,Technology,Machines,HP Printer,4199.93,7,0.0,613.83
94,CA-2022-1093,2022-09-10,2022-09-14,Second Class,CG-00042,Customer 042,Consumer,New York City,New York,East,OFF-ENV-33028,Office Supplies,Envelopes,Kraft Envelopes,8.98,3,0.4,1.21
95,CA-2022-1094,2022-04-17,2022-04-19,First Class,CG-00056,Customer 056,Home Office,Boston,Massachusetts,East,FUR-BOO-85156,Furniture,Bookcases,Sauder Bookcase,1049.96,7,0.4,-106.65
96,CA-2023-1095,2023-04-10,2023-04-16,Standard Class,CG-00107,Customer 107,Home Office,Houston,Texas,Central,OFF-BIN-67104,Office Supplies,Binders,Avery Binder,77.94,10,0.4,10.41
97,CA-2023-1096,2023-03-22,2023-03-24,First Class,CG-00043,Customer 043,Corporate,Los Angeles,California,West,TEC-PHO-76840,Technology,Phones,Cisco Phone,839.97,4,0.3,166.03
98,CA-2024-1097,2024-08-14,2024-08-17,Second Class,CG-00033,Customer 033,Consumer,Seattle,Washington,West,TEC-ACC-19876,Technology,Accessories,Belkin Cable,22.48,3,0.5,1.45
99,CA-2024-1098,2024-02-29,2024-02-29,Same Day,CG-00020,Customer 020,Home Office,Miami,Florida,South,OFF-LAB-46002,Office Supplies,Labels,Avery Address Labels,99.9,10,0.0,25.75
100,CA-2021-1099,2021-06-01,2021-06-03,First Class,CG-00008,Customer 008,Home Office,Columbus,Ohio,Central,FUR-CHA-87867,Furniture,Chairs,Global Chair,2105.95,9,0.4,-159.2
101,CA-2024-1100,2024-02-10,2024-02-16,Standard Class,CG-00078,Customer 078,Consumer,Birmingham,Alabama,South,FUR-CHA-23566,Furniture,Chairs,Hon Deluxe Chair,4549.91,13,0.3,693.21
102,CA-2021-1101,2021-06-22,2021-06-25,Second Class,CG-00057,Customer 057,Consumer,Portland,Oregon,West,OFF-PEN-63578,Office Supplies,Pens & Art Supplies,Staedtler Markers,118.21,13,0.3,36.27
103,CA-2021-1102,2021-04-18,2021-04-20,First Class,CG-00072,Customer 072,Consumer,Charlotte,North Carolina,South,OFF-ENV-53694,Office Supplies,Envelopes,Poly Envelopes,13.98,2,0.0,4.79
104,CA-2022-1103,2022-09-28,2022-09-28,Same Day,CG-00072,Customer 072,Consumer,Charlotte,North Carolina,South,FUR-CHA-97878,Furniture,Chairs,Global Chair,1910.95,7,0.3,14.78
105,CA-2022-1104,2022-09-25,2022-09-29,Second Class,CG-00025,Customer 025,Corporate,Seattle,Washington,West,FUR-CHA-23256,Furniture,Chairs,Hon Deluxe Chair,4499.91,9,0.0,469.29
106,CA-2024-1105,2024-06-19,2024-06-23,Second Class,CG-00021,Customer 021,Consumer,Phoenix,Arizona,West,FUR-FUR-63852,Furniture,Furnishings,Eldon Desk Lamp,107.95,6,0.1,16.24
107,CA-2024-1106,2024-06-04,2024-06-06,First Class,CG-00069,Customer 069,Consumer,Portland,Oregon,West,OFF-PAP-98907,Office Supplies,Paper,Xerox Paper,124.95,10,0.5,15.53
108,CA-2022-1107,2022-08-01,2022-08-01,Same Day,CG-00105,Customer 105,Consumer,Phoenix,Arizona,West,FUR-BOO-94040,Furniture,Bookcases,Bush Classic Bookcase,1119.94,8,0.3,98.76
109,CA-2021-1108,2021-07-30,2021-08-05,Standard Class,CG-00035,Customer 035,Home Office,Birmingham,Alabama,South,FUR-FUR-39102,Furniture,Furnishings,Eldon Desk Lamp,139.93,14,0.5,-1.72
110,CA-2021-1109,2021-02-24,2021-02-24,Same Day,CG-00031,Customer 031,Corporate,Miami,Florida,South,OFF-PAP-51770,Office Supplies,Paper,Hammermill Copy Paper,41.99,2,0.3,13.59
111,CA-2021-1110,2021-10-09,2021-10-15,Standard Class,CG-00098,Customer 098,Home Office,Nashville,Tennessee,South,TEC-PHO-12490,Technology,Phones,Apple iPhone,3374.95,5,0.1,912.06
112,CA-2024-1111,2024-01-29,2024-01-29,Same Day,CG-00039,Customer 039,Consumer,New York City,New York,East,FUR-FUR-18232,Furniture,Furnishings,Fiskars Scissors,9.99,2,0.5,-0.55
113,CA-2021-1112,2021-02-03,2021-02-06,Second Class,CG-00055,Customer 055,Corporate,Richmond,Virginia,East,OFF-PAP-34551,Office Supplies,Paper,Xerox Paper,274.89,11,0.0,77.94
114,CA-2023-1113,2023-01-09,2023-01-16,Standard Class,CG-00112,Customer 112,Corporate,Miami,Florida,South,TEC-COP-43246,Technology,Copiers,HP Copier,15599.88,12,0.0,3097.58
115,CA-2021-1114,2021-05-19,2021-05-22,First Class,CG-00018,Customer 018,Consumer,Newark,New Jersey,East,TEC-MAC-99742,Technology,Machines,HP Printer,2399.96,8,0.5,215.42
116,CA-2021-1115,2021-10-04,2021-10-11,Standard Class,CG-00038,Customer 038,Home Office,Los Angeles,California,West,FUR-CHA-50642,Furniture,Chairs,Hon Deluxe Chair,2699.95,9,0.4,9.09
117,CA-2024-1116,2024-01-18,2024-01-18,Same Day,CG-00037,Customer 037,Corporate,Houston,Texas,Central,TEC-MAC-26315,Technology,Machines,Brother Fax Machine,3639.91,13,0.3,766.36
118,CA-2023-1117,2023-03-31,2023-03-31,Same Day,CG-00064,Customer 064,Corporate,Charlotte,North Carolina,South,TEC-MAC-65640,Technology,Machines,HP Printer,719.99,2,0.4,61.46
119,CA-2022-1118,2022-01-05,2022-01-07,First Class,CG-00042,Customer 042,Consumer,Columbus,Ohio,Central,OFF-STO-31842,Office Supplies,Storage,Iris Storage Case,149.94,12,0.5,16.15
120,CA-2021-1119,2021-03-28,2021-03-31,First Class,CG-00082,Customer 082,Corporate,New York City,New York,East,TEC-COP-77251,Technology,Copiers,HP Copier,16899.87,13,0.0,4865.78
121,CA-2021-1120,2021-10-20,2021-10-20,Same Day,CG-00031,Customer 031,Corporate,Columbus,Ohio,Central,OFF-STO-89310,Office Supplies,Storage,Sterilite Storage Box,22.48,3,0.5,4.44
122,CA-2023-1121,2023-02-01,2023-02-01,Same Day,CG-00051,Customer 051,Consumer,Columbus,Ohio,Central,FUR-CHA-34385,Furniture,Chairs,Staples Chair,1439.95,8,0.4,-11.47
123,CA-2021-1122,2021-08-30,2021-09-01,First Class,CG-00079,Customer 079,Corporate,Detroit,Michigan,Central,FUR-CHA-19706,Furniture,Chairs,Staples Chair,2399.92,8,0.0,335.51
124,CA-2023-1123,2023-07-01,2023-07-08,Standard Class,CG-00091,Customer 091,Corporate,Richmond,Virginia,East,TEC-MAC-30644,Technology,Machines,Brother Fax Machine,4799.88,12,0.0,1267.43
125,CA-2023-1124,2023-11-08,2023-11-11,Second Class,CG-00031,Customer 031,Corporate,Miami,Florida,South,OFF-STO-71263,Office Supplies,Storage,Iris Storage Case,324.87,13,0.0,96.42
126,CA-2021-1125,2021-06-26,2021-07-02,Standard Class,CG-00068,Customer 068,Home Office,Nashville,Tennessee,South,TEC-PHO-51553,Technology,Phones,Apple iPhone,8249.89,11,0.0,1753.07
127,CA-2024-1126,2024-10-24,2024-10-26,First Class,CG-00056,Customer 056,Home Office,New York City,New York,East,TEC-ACC-31581,Technology,Accessories,Logitech Keyboard,104.98,3,0.3,29.94
128,CA-2022-1127,2022-04-07,2022-04-09,First Class,CG-00033,Customer 033,Consumer,Phoenix,Arizona,West,OFF-PAP-90534,Office Supplies,Paper,Xerox Paper,224.91,9,0.0,63.06
129,CA-2021-1128,2021-12-12,2021-12-16,Second Class,CG-00106,Customer 106,Corporate,New York City,New York,East,FUR-BOO-84991,Furniture,Bookcases,Bush Classic Bookcase,1399.93,7,0.0,111.58
130,CA-2024-1129,2024-07-08,2024-07-11,First Class,CG-00032,Customer 032,Home Office,Charlotte,North Carolina,South,OFF-BIN-17852,Office Supplies,Binders,Wilson Jones Binder,22.48,3,0.5,2.64
131,CA-2023-1130,2023-08-10,2023-08-13,Second Class,CG-00111,Customer 111,Consumer,Columbus,Ohio,Central,OFF-PAP-77499,Office Supplies,Paper,Xerox Paper,224.91,9,0.0,56.87
132,CA-2023-1131,2023-08-14,2023-08-20,Standard Class,CG-00019,Customer 019,Corporate,New York City,New York,East,OFF-LAB-42541,Office Supplies,Labels,Avery Address Labels,139.86,14,0.0,45.74
